,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emission Factors for Greenhouse Gas Inventories,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Last Modified: January 15, 2025",,,,,,,,,,,,,,,,,,,,,,
,,Blue text indicates an update from the 2024 version of this document.,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Typically, greenhouse gas emissions are reported in units of carbon dioxide equivalent (CO2e). Gases are converted to CO2e by multiplying by their global warming potential (GWP). In most cases, the emission factors listed in this document generally have not been converted to CO2e.  To do so, multiply the emissions by the corresponding GWP listed in the table below.  ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gas,100-Year GWP,,,,,,,,,,,,,,,,,,,,,,,,
,,CH4, 28 ,,,,,,,,,,,,,,,,,,,,,,,,
,,N2O, 265 ,,,,,,,,,,,,,,,,,,,,,,,,
,,"Source: Intergovernmental Panel on Climate Change (IPCC), 
Fifth Assessment Report (AR5), 2013. 
See the source note to Table 11 for further explanation. ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 1,   Stationary Combustion,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fuel Type,Heat Content (HHV),CO2 Factor,CH4 Factor,N2O Factor,CO2 Factor,CH4 Factor,N2O Factor,,,,,,,,,,,,,,,,,,
,,,mmBtu per short ton,kg CO2 per mmBtu,g CH4 per mmBtu,g N2O per mmBtu,kg CO2 per short ton,g CH4 per short ton,g N2O per short ton,,,,,,,,,,,,,,,,,,
,,Coal and Coke,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anthracite, 25.09 , 103.69 , 11 , 1.6 ," 2,602 ", 276 , 40 ,,,,,,,,,,,,,,,,,,
,,Bituminous, 24.93 , 93.28 , 11 , 1.6 ," 2,325 ", 274 , 40 ,,,,,,,,,,,,,,,,,,
,,Sub-bituminous, 17.25 , 97.17 , 11 , 1.6 ," 1,676 ", 190 , 28 ,,,,,,,,,,,,,,,,,,
,,Lignite, 14.21 , 97.72 , 11 , 1.6 ," 1,389 ", 156 , 23 ,,,,,,,,,,,,,,,,,,
,,Mixed (Commercial Sector), 21.39 , 94.27 , 11 , 1.6 ," 2,016 ", 235 , 34 ,,,,,,,,,,,,,,,,,,
,,Mixed (Electric Power Sector), 19.73 , 95.52 , 11 , 1.6 ," 1,885 ", 217 , 32 ,,,,,,,,,,,,,,,,,,
,,Mixed (Industrial Coking), 26.28 , 93.90 , 11 , 1.6 ," 2,468 ", 289 , 42 ,,,,,,,,,,,,,,,,,,
,,Mixed (Industrial Sector), 22.35 , 94.67 , 11 , 1.6 ," 2,116 ", 246 , 36 ,,,,,,,,,,,,,,,,,,
,,Coal Coke, 24.80 , 113.67 , 11 , 1.6 ," 2,819 ", 273 , 40 ,,,,,,,,,,,,,,,,,,
